studentid,famsize,Pstatus,Medu,Fedu,Mjob,Fjob
6549472,GT3,A,4,4,at_home,teacher
3983519,GT3,T,1,1,at_home,other
9934164,LE3,T,1,1,at_home,other
1153571,GT3,T,4,2,health,services
1236413,GT3,T,3,3,other,other
5457367,LE3,T,4,3,services,other
6111349,LE3,T,2,2,other,other
2618469,GT3,A,4,4,other,teacher
2121243,LE3,A,3,2,services,other
1268824,GT3,T,3,4,other,other
8616924,GT3,T,4,4,teacher,health
8174873,GT3,T,2,1,services,other
7165870,LE3,T,4,4,health,services
6192280,GT3,T,4,3,teacher,other
3663629,GT3,A,2,2,other,other
7710604,GT3,T,4,4,health,other
7167230,GT3,T,4,4,services,services
5500428,GT3,T,3,3,other,other
6021089,GT3,T,3,2,services,services
2873384,LE3,T,4,3,health,other
7650448,GT3,T,4,3,teacher,other
3503697,GT3,T,4,4,health,health
9792797,LE3,T,4,2,teacher,other
9531491,LE3,T,2,2,other,other
9657177,GT3,T,2,4,services,health
3680072,GT3,T,2,2,services,services
8257084,GT3,T,2,2,other,other
5801990,GT3,T,4,2,health,services
3762951,LE3,A,3,4,services,other
7756671,GT3,T,4,4,teacher,teacher
9441425,GT3,T,4,4,health,services
8036279,GT3,T,4,4,services,services
5022390,GT3,T,4,3,teacher,at_home
7020542,LE3,T,3,3,other,other
4419790,GT3,T,3,2,other,other
9339512,GT3,T,2,3,other,other
4729021,LE3,T,4,3,teacher,services
9453674,GT3,A,4,4,other,teacher
3601908,GT3,T,3,4,services,health
7703770,GT3,T,2,2,at_home,other
9320635,LE3,T,2,2,other,other
9448425,LE3,T,4,4,teacher,other
9174464,GT3,T,4,4,services,teacher
5084660,GT3,T,2,2,services,services
6604530,LE3,T,2,2,other,at_home
1204101,LE3,A,4,3,other,other
8403413,LE3,A,3,3,other,services
5157391,GT3,T,4,3,health,services
3813013,GT3,T,4,2,teacher,other
5836635,GT3,T,4,4,services,teacher
4739185,LE3,T,2,2,services,services
6953610,LE3,T,4,2,health,other
6313317,LE3,A,4,2,health,health
6186055,GT3,T,4,4,services,services
7919081,LE3,A,3,3,other,other
3679392,GT3,A,2,1,other,other
9682186,GT3,A,4,3,services,services
3851216,GT3,T,4,4,teacher,health
9839633,LE3,T,1,2,other,at_home
4104223,GT3,T,4,2,services,other
4224640,GT3,T,4,4,health,teacher
6468613,GT3,T,1,1,services,services
9236823,LE3,T,1,2,other,services
7177837,GT3,T,4,3,teacher,health
3181766,LE3,T,4,3,services,services
9920948,LE3,T,4,3,teacher,services
7068165,GT3,A,4,4,other,services
3396676,GT3,T,3,1,services,other
1870439,LE3,T,2,2,health,services
8927988,LE3,T,3,1,other,other
6123113,GT3,T,3,1,other,other
7999775,GT3,T,4,2,other,other
2474261,GT3,T,1,1,other,other
2001341,GT3,T,3,1,other,other
3340237,GT3,T,3,3,other,services
1351172,GT3,T,4,3,teacher,other
1954042,GT3,T,4,0,teacher,other
4521529,GT3,T,2,2,other,other
9511518,GT3,T,2,1,other,other
9780067,GT3,T,3,4,at_home,other
4462658,GT3,T,2,3,other,services
9944657,GT3,T,2,3,other,other
6835372,LE3,T,3,2,services,other
3785648,LE3,T,2,2,services,services
9339146,GT3,T,1,1,other,other
3186929,GT3,T,4,4,services,services
6455077,LE3,T,2,2,at_home,other
6948316,GT3,T,4,2,other,other
4065823,GT3,T,2,2,services,other
2724090,LE3,A,4,4,teacher,health
8226924,GT3,T,3,3,other,other
9989076,GT3,T,4,3,services,other
8530664,LE3,T,3,1,other,other
1373179,GT3,T,4,2,teacher,services
8451145,LE3,T,2,2,services,health
5194211,GT3,T,1,1,at_home,other
1049817,GT3,T,4,3,services,other
3656358,GT3,T,2,1,other,other
9947939,GT3,T,4,4,other,other
7737931,GT3,T,4,3,other,at_home
5802956,GT3,T,4,4,services,services
3732974,GT3,T,4,4,services,teacher
9718916,GT3,T,4,4,services,other
4542385,GT3,T,3,2,services,other
8556039,GT3,A,3,4,services,other
9498196,GT3,A,3,3,other,health
5606746,GT3,T,2,2,other,other
2897826,GT3,T,3,3,services,other
2325542,GT3,T,4,4,other,other
3499792,LE3,T,4,4,health,health
4540587,LE3,A,4,4,teacher,teacher
1590354,GT3,T,3,3,services,other
9378213,GT3,T,2,2,at_home,other
4468059,LE3,T,4,2,teacher,other
